1-nov.,,546,2667,,,0,2602,4566,1513,"20,47%",503,14,63576,43402,1413,18761,,,,,,,,
31-oct.,,589,2861,,,0,2602,4566,1513,"20,59%",563,17,63030,42899,1399,18732,,,,,,,,
30-oct.,,546,3002,,,0,2602,4566,1513,"18,19%",537,14,62441,42336,1382,18723,,,,,,,,
29-oct.,,760,3141,,,0,2602,4566,1513,"24,20%",512,14,61895,41799,1368,18728,,,,,,,,
28-oct.,,733,2842,,,1,2602,4566,1513,"25,79%",540,12,61135,41287,1354,18494,,,,,,,,
27-oct.,,448,2422,,,1,2602,4566,1512,"18,50%",501,14,60402,40747,1342,18313,,,,,,,,
26-oct.,,515,2426,,,0,2602,4566,1511,"21,23%",512,24,59954,40246,1328,18380,,,,,,,,
25-oct.,,551,2527,,,0,2602,4566,1511,"21,80%",494,16,59439,39734,1304,18401,,,,,,,,
24-oct.,,784,3005,,,1,2602,4566,1511,"26,09%",444,15,58888,39240,1288,18360,,,,,,,,
23-oct.,,733,2854,,,0,2602,4566,1510,"25,68%",583,11,58104,38796,1273,18035,,,,,,,,
22-oct.,,707,2838,,,0,2602,4566,1510,"24,91%",541,12,57371,38213,1262,17896,,,,,,,,
21-oct.,,746,2754,,,3,2602,4566,1510,"27,09%",506,19,56664,37672,1250,17742,,,,,,,,
20-oct.,,621,3031,,,5,2602,4566,1507,"20,49%",504,24,55918,37166,1231,17521,,,,,,,,
19-oct.,,728,2254,,,0,2602,4566,1502,"32,30%",595,19,55297,36662,1207,17428,,,,,,,,
18-oct.,,709,2691,,,1,2602,4566,1502,"26,35%",544,9,54569,36067,1188,17314,,,,,,,,
17-oct.,,533,2931,,,1,2602,4566,1501,"18,18%",597,14,53860,35523,1179,17158,,,,,,,,
16-oct.,,886,2972,,,0,2602,4566,1500,"29,81%",500,15,53327,34926,1165,17236,,,,,,,,
15-oct.,,715,2922,,,0,2602,4566,1500,"24,47%",506,19,52441,34426,1150,16865,,,,,,,,
14-oct.,,648,3031,,,1,2602,4566,1500,"21,38%",596,23,51726,33920,1131,16675,,,,,,,,
13-oct.,,853,2727,,,2,2602,4566,1499,"31,28%",574,12,51078,33324,1108,16646,,,,,,,,
12-oct.,,669,2883,,,3,2602,4566,1497,"23,20%",661,19,50225,32750,1096,16379,,,,,,,,
11-oct.,,697,2891,,,0,2602,4566,1494,"24,11%",739,12,49556,32089,1077,16390,,,,,,,,
10-oct.,,703,2895,,,3,2602,4566,1494,"24,28%",708,20,48859,31350,1065,16444,,,,,,,,
9-oct.,,959,3100,,,0,2602,4566,1491,"30,94%",667,33,48156,30642,1045,16469,,,,,,,,
8-oct.,,881,3021,,,3,2602,4566,1491,"29,16%",706,23,47197,29975,1012,16210,,,,,,,,
7-oct.,,788,3162,,,1,2602,4566,1488,"24,92%",724,23,46316,29269,989,16058,,,,,,,,
6-oct.,,932,2867,,,0,2602,4566,1487,"32,51%",659,19,45528,28545,966,16017,,,,,,,,
5-oct.,,533,2005,,,0,2602,4566,1487,"26,58%",684,18,44596,27886,947,15763,,,,,,,,
4-oct.,,730,2240,,,0,2602,4566,1487,"32,59%",691,16,44063,27202,929,15932,,,,,,,,
3-oct.,,768,2725,,,1,2602,4566,1487,"28,18%",709,23,43333,26511,913,15909,,,,,,,,
2-oct.,,885,2628,,,2,2602,4566,1486,"33,68%",636,21,42565,25802,890,15873,,,,,,,,
1-oct.,,1041,3417,,,5,2602,4566,1484,"30,47%",718,12,41680,25166,869,15645,,,,,,,,
30-sept.,,657,2937,,,4,2602,4566,1479,"22,37%",701,16,40639,24448,857,15334,,,,,,,,
29-sept.,,669,2061,,,0,2602,4566,1475,"32,46%",685,23,39982,23747,841,15394,,,,,,,,
28-sept.,,748,2748,,,2,2602,4566,1475,"27,22%",644,15,39313,23062,818,15433,,,,,,,,
27-sept.,,762,2648,,,7,2602,4566,1473,"28,78%",662,21,38565,22418,803,15344,,,,,,,,
26-sept.,,696,3031,,,0,2602,4566,1466,"22,96%",640,21,37803,21756,782,15265,,,,,,,,
25-sept.,,822,2468,,,12,2602,4566,1466,"33,31%",615,18,37107,21116,761,15230,,,,,,,,
24-sept.,,833,2735,,,31,2602,4566,1454,"30,46%",635,16,36285,20501,743,15041,,,,,,,,
23-sept.,,743,2977,,,8,2602,4566,1423,"24,96%",610,22,35452,19866,727,14859,,,,,,,,
22-sept.,,568,2908,,,3,2602,4566,1415,"19,53%",628,29,34709,19256,705,14748,,,,,,,,
21-sept.,,740,2061,,,0,2602,4566,1412,"35,90%",512,17,34141,18628,676,14837,,,,,,,,
20-sept.,,505,2506,,,1,2602,4566,1412,"20,15%",582,23,33401,18116,659,14626,,,,,,,,
19-sept.,,888,3105,,,3,2602,4566,1411,"28,60%",614,25,32896,17534,636,14726,,,,,,,,
18-sept.,,1014,3434,,,6,2602,4566,1408,"29,53%",608,27,32008,16920,611,14477,,,,,,,,
17-sept.,,694,2665,,,1,2602,4566,1402,"26,04%",573,18,30994,16312,584,14098,,,,,,,,
16-sept.,,1121,3552,,,11,2602,4566,1401,"31,56%",479,14,30300,15739,566,13995,,,,,,,,
15-sept.,,811,3105,,,3,2602,4566,1390,"26,12%",447,13,29179,15260,552,13367,,,,,,,,
14-sept.,,550,2623,,,0,2602,4566,1387,"20,97%",526,14,28368,14813,539,13016,,,,,,,,
13-sept.,,493,2981,,,0,2602,4566,1387,"16,54%",609,11,27818,14287,525,13006,,,,,,,,
12-sept.,,813,3708,,,0,2602,4566,1387,"21,93%",498,18,27325,13678,514,13133,,,,,,,,
11-sept.,,881,3010,,,3,2602,4566,1387,"29,27%",452,11,26512,13180,496,12836,,,,,,,,
10-sept.,,605,2650,,,3,2602,4566,1384,"22,83%",420,11,25631,12728,485,12418,,,,,,,,
9-sept.,,812,2667,,,5,2602,4566,1381,"30,45%",389,11,25026,12308,474,12244,,,,,,,,
8-sept.,,861,3020,,,16,2602,4566,1376,"28,51%",396,14,24214,11919,463,11832,,,,,,,,
7-sept.,,867,2754,,,1,2602,4566,1360,"31,48%",391,14,23353,11523,449,11381,,,,,,,,
6-sept.,,615,2719,,,19,2602,4566,1359,"22,62%",323,23,22486,11132,435,10919,,,,,,,,
5-sept.,,1217,2263,,,0,2602,4566,1340,"53,78%",287,14,21871,10809,412,10650,,,,,,,,
4-sept.,,695,2470,,,2,2602,4566,1340,"28,14%",272,25,20654,10522,398,9734,,,,,,,,
3-sept.,,821,3130,,,1,2602,4566,1338,"26,23%",270,15,19959,10250,373,9336,,,,,,,,
2-sept.,,800,3066,,,2,2602,4566,1337,"26,09%",260,10,19138,9980,358,8800,,,,,,,,
1-sept.,,676,3089,,,2,2602,4566,1335,"21,88%",300,22,18338,9720,348,8270,,,,,,,,
31-ago.,,557,2296,,,0,2602,4566,1333,"24,26%",275,18,17662,9420,326,7916,,,,,,,,
30-ago.,,631,1610,,,6,2602,4566,1333,"39,19%",292,14,17105,9145,308,7652,,,,,,,,
29-ago.,,601,2638,,,8,2602,4566,1327,"22,78%",259,14,16474,8853,294,7327,,,,,,,,
28-ago.,,583,3130,,,15,2602,4566,1319,"18,63%",247,15,15873,8594,280,6999,,,,,,,,
27-ago.,,418,2185,,,2,2602,4566,1304,"19,13%",214,18,15290,8347,265,6678,,,,,,,,
26-ago.,,644,2835,,,2,2602,4566,1302,"22,72%",251,16,14872,8133,247,6492,,,,,,,,
25-ago.,,626,2119,,,4,2602,4566,1300,"29,54%",234,12,14228,7882,231,6115,,,,,,,,
24-ago.,,369,2312,,,26,2602,4566,1296,"15,96%",232,14,13602,7648,219,5735,,,,,,,,
23-ago.,,259,1788,,,2,2602,4566,1270,"14,49%",220,13,13233,7416,205,5612,,,,,,,,
22-ago.,,438,2292,0,0,7,2602,4566,1268,"19,11%",190,10,12974,7196,192,5586,,,,,,,,
21-ago.,,719,3150,0,0,5,2602,4566,1261,"22,83%",223,12,12536,7006,182,5348,,,,,,,,
20-ago.,,684,3787,0,0,4,2602,4566,1256,"18,06%",201,5,11817,6783,170,4864,,,,,,,,
19-ago.,,527,2657,0,0,0,2602,4566,1252,"19,83%",180,4,11133,6582,165,4386,,,,,,,,
18-ago.,,471,3055,0,0,8,2602,4566,1252,"15,42%",192,16,10606,6402,161,4043,,,,,,,,
17-ago.,,344,2219,0,0,7,2602,4566,1244,"15,50%",176,7,10135,6210,145,3780,,,,,,,,
16-ago.,0,410,2965,0,0,4,2602,4566,1237,"13,83%",193,11,9791,6034,138,3619,,,,,,,,
15-ago.,0,359,2078,0,0,2,2602,4566,1233,"17,28%",184,19,9381,5841,127,3413,,,,,,,,
14-ago.,0,633,3065,0,0,10,2602,4566,1231,"20,65%",141,11,9022,5657,108,3257,,,,,,,,
13-ago.,0,371,1767,202,164,5,2602,4566,1221,"21,00%",132,4,8389,5516,97,2776,,,,,,,,
12-ago.,0,499,2123,269,208,22,2400,4402,1216,"23,50%",58,7,8018,5384,93,2541,,,,,,,,
11-ago.,0,285,2158,145,132,8,2131,4194,1194,"13,21%",50,4,7519,5326,86,2107,,,,,,,,
10-ago.,0,327,1821,175,141,11,1986,4062,1186,"17,96%",54,7,7234,5276,82,1876,,,,,,,,
9-ago.,0,202,1115,117,82,3,1811,3921,1175,"18,12%",41,3,6907,5222,75,1610,,,,,,,,
8-ago.,0,197,1021,96,101,0,1694,3839,1172,"19,29%",58,3,6705,5181,72,1452,,,,,,,,
7-ago.,0,133,1002,68,64,1,1598,3738,1172,"13,27%",149,3,6508,5123,69,1316,,,,,,,,
6-ago.,0,315,1455,188,125,2,1530,3674,1171,"21,65%",135,5,6375,4974,66,1335,,,,,,,,
5-ago.,0,208,1711,78,129,1,1342,3549,1169,"12,16%",194,2,6060,4839,61,1160,,,,,,,,
4-ago.,0,128,1325,64,64,0,1264,3420,1168,"9,66%",396,4,5852,4645,59,1148,,,,,,,,
3-ago.,0,80,1062,44,32,4,1200,3356,1168,"7,53%",283,3,5724,4249,55,1420,,,,,,,,
2-ago.,0,159,1015,59,96,4,1156,3324,1164,"15,67%",180,0,5644,3966,52,1626,,,,,,,,
1-ago.,0,147,1099,38,107,2,1097,3228,1160,"13,38%",238,3,5485,3786,52,1647,,,,,,,,
31-jul.,0,131,2249,42,69,20,1059,3121,1158,"5,82%",298,2,5338,3548,49,1741,,,,,,,,
30-jul.,0,341,2532,159,172,10,1017,3052,1138,"13,47%",81,1,5207,3250,47,1910,,,,,,,,
29-jul.,0,192,1886,69,112,11,858,2880,1128,"10,18%",130,1,4866,3169,46,1651,,,,,,,,
28-jul.,0,126,1687,60,66,0,789,2768,1117,"7,47%",134,2,4674,3039,45,1590,,,,,,,,
27-jul.,0,104,1649,31,70,3,729,2702,1117,"6,31%",111,2,4548,2905,43,1600,,,,,,,,
26-jul.,0,116,1656,72,34,10,698,2632,1114,"7,00%",115,1,4444,2794,41,1609,,,,,,,,
25-jul.,0,104,1861,47,57,0,626,2598,1104,"5,59%",83,2,4328,2679,40,1609,,,,,,,,
24-jul.,0,111,2006,35,74,2,579,2541,1104,"5,53%",109,2,4224,2596,38,1590,,,,,,,,
23-jul.,0,113,2165,31,73,9,544,2467,1102,"5,22%",96,0,4113,2487,36,1590,,,,,,,,
22-jul.,0,183,1841,18,158,7,513,2394,1093,"9,94%",84,1,4000,2391,36,1573,,,,,,,,
21-jul.,0,69,1688,23,45,1,495,2236,1086,"4,09%",136,2,3817,2307,35,1475,,,,,,,,
